altname,wsname,base,quote
MINAUSD,MINA/USD,MINA,ZUSD
SUSHIUSD,SUSHI/USD,SUSHI,ZUSD
UNIUSD,UNI/USD,UNI,ZUSD
USTEUR,UST/EUR,UST,ZEUR
AVAXUSDT,AVAX/USDT,AVAX,USDT
BSXUSD,BSX/USD,BSX,ZUSD
KNCEUR,KNC/EUR,KNC,ZEUR
LSKEUR,LSK/EUR,LSK,ZEUR
ZRXUSD,ZRX/USD,ZRX,ZUSD
MKRGBP,MKR/GBP,MKR,ZGBP
STEPEUR,STEP/EUR,STEP,ZEUR
PAXGXBT,PAXG/XBT,PAXG,XXBT
RBCUSD,RBC/USD,RBC,ZUSD
SCRTEUR,SCRT/EUR,SCRT,ZEUR
SRMXBT,SRM/XBT,SRM,XXBT
AUDIOEUR,AUDIO/EUR,AUDIO,ZEUR
BCHEUR,BCH/EUR,BCH,ZEUR
EWTUSD,EWT/USD,EWT,ZUSD
JUNOEUR,JUNO/EUR,JUNO,ZEUR
XMRXBT,XMR/XBT,XXMR,XXBT
MSOLUSD,MSOL/USD,MSOL,ZUSD
NYMEUR,NYM/EUR,NYM,ZEUR
REPV2XBT,REPV2/XBT,REPV2,XXBT
WBTCEUR,WBTC/EUR,WBTC,ZEUR
APTEUR,APT/EUR,APT,ZEUR
FIDAUSD,FIDA/USD,FIDA,ZUSD
GNOEUR,GNO/EUR,GNO,ZEUR
LPTXBT,LPT/XBT,LPT,XXBT
LUNAEUR,LUNA/EUR,LUNA,ZEUR
XTZAUD,XTZ/AUD,XTZ,ZAUD
XRPJPY,XRP/JPY,XXRP,ZJPY
C98USD,C98/USD,C98,ZUSD
GNOETH,GNO/ETH,GNO,XETH
ICXETH,ICX/ETH,ICX,XETH
LCXEUR,LCX/EUR,LCX,ZEUR
ETHUSDT,ETH/USDT,XETH,USDT
MNGOUSD,MNGO/USD,MNGO,ZUSD
PARAUSD,PARA/USD,PARA,ZUSD
SNXETH,SNX/ETH,SNX,XETH
NODLEUR,NODL/EUR,NODL,ZEUR
XBTUSDT,XBT/USDT,XXBT,USDT
REPEUR,REP/EUR,XREP,ZEUR
BNTUSD,BNT/USD,BNT,ZUSD
FLOWGBP,FLOW/GBP,FLOW,ZGBP
JASMYEUR,JASMY/EUR,JASMY,ZEUR
KEEPXBT,KEEP/XBT,KEEP,XXBT
EOSXBT,EOS/XBT,EOS,XXBT
SOLUSD,SOL/USD,SOL,ZUSD
1INCHEUR,1INCH/EUR,1INCH,ZEUR
BITUSD,BIT/USD,BIT,ZUSD
MOVRUSD,MOVR/USD,MOVR,ZUSD
XDGEUR,XDG/EUR,XXDG,ZEUR
SDNUSD,SDN/USD,SDN,ZUSD
AAVEETH,AAVE/ETH,AAVE,XETH
CQTUSD,CQT/USD,CQT,ZUSD
ETHWETH,ETHW/ETH,ETHW,XETH
PLAEUR,PLA/EUR,PLA,ZEUR
NEAREUR,NEAR/EUR,NEAR,ZEUR
SOLXBT,SOL/XBT,SOL,XXBT
USDTGBP,USDT/GBP,USDT,ZGBP
YFIAUD,YFI/AUD,YFI,ZAUD
BNCEUR,BNC/EUR,BNC,ZEUR
CHREUR,CHR/EUR,CHR,ZEUR
GHSTUSD,GHST/USD,GHST,ZUSD
GRTGBP,GRT/GBP,GRT,ZGBP
TRXETH,TRX/ETH,TRX,XETH
KILTEUR,KILT/EUR,KILT,ZEUR
NMRUSD,NMR/USD,NMR,ZUSD
RUNEUSD,RUNE/USD,RUNE,ZUSD
TBTCETH,TBTC/ETH,TBTC,XETH
OXTEUR,OXT/EUR,OXT,ZEUR
UMAEUR,UMA/EUR,UMA,ZEUR
BNTEUR,BNT/EUR,BNT,ZEUR
BTTUSD,BTT/USD,BTT,ZUSD
USDCCHF,USDC/CHF,USDC,CHF
STXEUR,STX/EUR,STX,ZEUR
XBTUSDC,XBT/USDC,XXBT,USDC
ETCETH,ETC/ETH,XETC,XETH
XLMEUR,XLM/EUR,XXLM,ZEUR
ATOMETH,ATOM/ETH,ATOM,XETH
BATUSD,BAT/USD,BAT,ZUSD
HFTEUR,HFT/EUR,HFT,ZEUR
NANOXBT,NANO/XBT,NANO,XXBT
XBTGBP,XBT/GBP,XXBT,ZGBP
GTCUSD,GTC/USD,GTC,ZUSD
STGEUR,STG/EUR,STG,ZEUR
TVKUSD,TVK/USD,TVK,ZUSD
XBTCAD,XBT/CAD,XXBT,ZCAD
BTTEUR,BTT/EUR,BTT,ZEUR
GRTAUD,GRT/AUD,GRT,ZAUD
ICXEUR,ICX/EUR,ICX,ZEUR
KSMEUR,KSM/EUR,KSM,ZEUR
ADAXBT,ADA/XBT,ADA,XXBT
BALXBT,BAL/XBT,BAL,XXBT
BITEUR,BIT/EUR,BIT,ZEUR
UNFIUSD,UNFI/USD,UNFI,ZUSD
AUDIOUSD,AUDIO/USD,AUDIO,ZUSD
GSTEUR,GST/EUR,GST,ZEUR
TRUEUR,TRU/EUR,TRU,ZEUR
EOSUSD,EOS/USD,EOS,ZUSD
MVEUR,MV/EUR,MV,ZEUR
RAYUSD,RAY/USD,RAY,ZUSD
DENTUSD,DENT/USD,DENT,ZUSD
GALEUR,GAL/EUR,GAL,ZEUR
OCEANEUR,OCEAN/EUR,OCEAN,ZEUR
OMGEUR,OMG/EUR,OMG,ZEUR
