altname,wsname,base,quote
AKTUSD,AKT/USD,AKT,ZUSD
DASHXBT,DASH/XBT,DASH,XXBT
IDEXEUR,IDEX/EUR,IDEX,ZEUR
ORCAUSD,ORCA/USD,ORCA,ZUSD
LTCXBT,LTC/XBT,XLTC,XXBT
XBTEUR,XBT/EUR,XXBT,ZEUR
ADAEUR,ADA/EUR,ADA,ZEUR
BICOEUR,BICO/EUR,BICO,ZEUR
ENSEUR,ENS/EUR,ENS,ZEUR
TRXEUR,TRX/EUR,TRX,ZEUR
XMRUSD,XMR/USD,XXMR,ZUSD
LINKUSDT,LINK/USDT,LINK,USDT
NYMXBT,NYM/XBT,NYM,XXBT
STGEUR,STG/EUR,STG,ZEUR
ALGOEUR,ALGO/EUR,ALGO,ZEUR
ANTUSD,ANT/USD,ANT,ZUSD
SANDGBP,SAND/GBP,SAND,ZGBP
FXSEUR,FXS/EUR,FXS,ZEUR
KEEPEUR,KEEP/EUR,KEEP,ZEUR
LTCETH,LTC/ETH,XLTC,XETH
ROOKUSD,ROOK/USD,ROOK,ZUSD
SUSHIGBP,SUSHI/GBP,SUSHI,ZGBP
ATOMGBP,ATOM/GBP,ATOM,ZGBP
CRVXBT,CRV/XBT,CRV,XXBT
CTSIUSD,CTSI/USD,CTSI,ZUSD
UNIUSD,UNI/USD,UNI,ZUSD
KINTEUR,KINT/EUR,KINT,ZEUR
REQUSD,REQ/USD,REQ,ZUSD
ETCEUR,ETC/EUR,XETC,ZEUR
GMTUSD,GMT/USD,GMT,ZUSD
UNIEUR,UNI/EUR,UNI,ZEUR
XTZAUD,XTZ/AUD,XTZ,ZAUD
XRPEUR,XRP/EUR,XXRP,ZEUR
1INCHEUR,1INCH/EUR,1INCH,ZEUR
ALGOETH,ALGO/ETH,ALGO,XETH
CRVUSD,CRV/USD,CRV,ZUSD
UNFIEUR,UNFI/EUR,UNFI,ZEUR
XRPAUD,XRP/AUD,XXRP,ZAUD
YFIEUR,YFI/EUR,YFI,ZEUR
CSMEUR,CSM/EUR,CSM,ZEUR
ENSUSD,ENS/USD,ENS,ZUSD
MATICGBP,MATIC/GBP,MATIC,ZGBP
ETHUSDC,ETH/USDC,XETH,USDC
FILEUR,FIL/EUR,FIL,ZEUR
FISEUR,FIS/EUR,FIS,ZEUR
FTMUSD,FTM/USD,FTM,ZUSD
MATICEUR,MATIC/EUR,MATIC,ZEUR
BATUSD,BAT/USD,BAT,ZUSD
BNTEUR,BNT/EUR,BNT,ZEUR
CELRUSD,CELR/USD,CELR,ZUSD
XBTJPY,XBT/JPY,XXBT,ZJPY
XLMEUR,XLM/EUR,XXLM,ZEUR
MVEUR,MV/EUR,MV,ZEUR
POLSUSD,POLS/USD,POLS,ZUSD
WAVESXBT,WAVES/XBT,WAVES,XXBT
ZRXXBT,ZRX/XBT,ZRX,XXBT
ARPAEUR,ARPA/EUR,ARPA,ZEUR
RAREUSD,RARE/USD,RARE,ZUSD
LTCEUR,LTC/EUR,XLTC,ZEUR
SUSHIEUR,SUSHI/EUR,SUSHI,ZEUR
SYNUSD,SYN/USD,SYN,ZUSD
AGLDEUR,AGLD/EUR,AGLD,ZEUR
SANDEUR,SAND/EUR,SAND,ZEUR
SANDXBT,SAND/XBT,SAND,XXBT
DOTUSDT,DOT/USDT,DOT,USDT
DYDXUSD,DYDX/USD,DYDX,ZUSD
KSMEUR,KSM/EUR,KSM,ZEUR
USTUSDT,UST/USDT,UST,USDT
ANKREUR,ANKR/EUR,ANKR,ZEUR
BANDUSD,BAND/USD,BAND,ZUSD
C98USD,C98/USD,C98,ZUSD
GNOXBT,GNO/XBT,GNO,XXBT
PAXGETH,PAXG/ETH,PAXG,XETH
WBTCEUR,WBTC/EUR,WBTC,ZEUR
ALCXUSD,ALCX/USD,ALCX,ZUSD
BCHGBP,BCH/GBP,BCH,ZGBP
CTSIEUR,CTSI/EUR,CTSI,ZEUR
RENGBP,REN/GBP,REN,ZGBP
XDGUSDT,XDG/USDT,XXDG,USDT
CFGUSD,CFG/USD,CFG,ZUSD
COTIUSD,COTI/USD,COTI,ZUSD
MKRXBT,MKR/XBT,MKR,XXBT
AIRUSD,AIR/USD,AIR,ZUSD
ICXXBT,ICX/XBT,ICX,XXBT
RBCUSD,RBC/USD,RBC,ZUSD
TRXUSD,TRX/USD,TRX,ZUSD
KILTUSD,KILT/USD,KILT,ZUSD
MIREUR,MIR/EUR,MIR,ZEUR
OXYEUR,OXY/EUR,OXY,ZEUR
XMRUSDT,XMR/USDT,XXMR,USDT
DOTETH,DOT/ETH,DOT,XETH
KEEPUSD,KEEP/USD,KEEP,ZUSD
TUSD,T/USD,T,ZUSD
PARAUSD,PARA/USD,PARA,ZUSD
UNIETH,UNI/ETH,UNI,XETH
LTCJPY,LTC/JPY,XLTC,ZJPY
BSXUSD,BSX/USD,BSX,ZUSD
DAIEUR,DAI/EUR,DAI,ZEUR
KAVAXBT,KAVA/XBT,KAVA,XXBT
CVCUSD,CVC/USD,CVC,ZUSD
TEERUSD,TEER/USD,TEER,ZUSD
XRPCAD,XRP/CAD,XXRP,ZCAD
FLOWGBP,FLOW/GBP,FLOW,ZGBP
1INCHUSD,1INCH/USD,1INCH,ZUSD
AAVEGBP,AAVE/GBP,AAVE,ZGBP
ANTETH,ANT/ETH,ANT,XETH
